,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,epochs,stage
0,1.744855523109436,2853.0,550.0,173162.0,11623.0,0.4619370102882385,0.8383778929710388,0.19708482921123505,0.8502717018127441,1.009320855140686,442.0,16.0,12368.0,590.0,0.7529069781303406,0.9650654792785645,0.4282945692539215,0.9694309830665588,1,first_raining
1,0.8594697117805481,7873.0,552.0,173160.0,6603.0,0.762710690498352,0.9344807267189026,0.5438656806945801,0.9756991863250732,0.6578896641731262,669.0,31.0,12353.0,363.0,0.8449612259864807,0.9557142853736877,0.6482558250427246,0.989240288734436,2,first_raining
2,0.6222750544548035,9895.0,654.0,173058.0,4581.0,0.8311688303947449,0.9380035996437073,0.6835451722145081,0.9877086281776428,0.5157583951950073,760.0,36.0,12348.0,272.0,0.8798449635505676,0.9547738432884216,0.7364341020584106,0.9929445385932922,3,first_raining
3,0.5031877160072327,10826.0,654.0,173058.0,3650.0,0.8576264381408691,0.943031370639801,0.7478585243225098,0.9919618368148804,0.43534013628959656,822.0,42.0,12342.0,210.0,0.893410861492157,0.9513888955116272,0.7965116500854492,0.9947114586830139,4,first_raining
4,0.433960884809494,11444.0,705.0,173007.0,3032.0,0.8777286410331726,0.9419705271720886,0.7905498743057251,0.9938796758651733,0.379393607378006,854.0,40.0,12344.0,178.0,0.9021317958831787,0.9552572965621948,0.8275193572044373,0.9959197044372559,5,first_raining
5,0.3810521066188812,11883.0,667.0,173045.0,2593.0,0.8900939226150513,0.9468525648117065,0.8208759427070618,0.9951472878456116,0.3491225242614746,869.0,41.0,12343.0,163.0,0.9050387740135193,0.9549450278282166,0.8420542478561401,0.9963210821151733,6,first_raining
6,0.3473428189754486,12166.0,692.0,173020.0,2310.0,0.8989361524581909,0.9461813569068909,0.8404255509376526,0.9958149194717407,0.31841808557510376,881.0,44.0,12340.0,151.0,0.9079457521438599,0.9524324536323547,0.8536821603775024,0.9968552589416504,7,first_raining
7,0.31773340702056885,12405.0,650.0,173062.0,2071.0,0.9088836908340454,0.9502106308937073,0.8569356203079224,0.9966075420379639,0.2992938160896301,894.0,43.0,12341.0,138.0,0.913759708404541,0.9541088342666626,0.8662790656089783,0.9971702694892883,8,first_raining
8,0.298942506313324,12577.0,655.0,173057.0,1899.0,0.914271891117096,0.9504988193511963,0.8688173294067383,0.9967515468597412,0.28033891320228577,911.0,42.0,12342.0,121.0,0.9224806427955627,0.9559286236763,0.8827519416809082,0.9973936080932617,9,first_raining
9,0.2794862389564514,12695.0,608.0,173104.0,1781.0,0.9191765785217285,0.9542960524559021,0.8769688010215759,0.9972240924835205,0.2567618489265442,922.0,37.0,12347.0,110.0,0.9282945990562439,0.9614181518554688,0.893410861492157,0.9974900484085083,10,first_raining
