,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,epochs,stage
0,1.8882105350494385,4804.0,745.0,359879.0,25248.0,0.40120458602905273,0.8657415509223938,0.15985624492168427,0.8181006908416748,1.3084813356399536,800.0,44.0,31960.0,1867.0,0.6145482063293457,0.9478672742843628,0.29996249079704285,0.9348905682563782,1,first_raining
1,1.2337826490402222,11369.0,1604.0,359020.0,18683.0,0.6075136661529541,0.8763585686683655,0.3783109188079834,0.9359588623046875,1.0390055179595947,1218.0,104.0,31900.0,1449.0,0.681664764881134,0.9213312864303589,0.4566929042339325,0.960027277469635,2,first_raining
2,1.0346671342849731,14354.0,2052.0,358572.0,15698.0,0.6718354821205139,0.874923825263977,0.47763875126838684,0.9560229778289795,0.9023227095603943,1412.0,134.0,31870.0,1255.0,0.721784770488739,0.9133247137069702,0.5294338464736938,0.9700248837471008,3,first_raining
3,0.9195078611373901,16162.0,2145.0,358479.0,13890.0,0.7067749500274658,0.8828316926956177,0.5378011465072632,0.9656494855880737,0.822632908821106,1531.0,144.0,31860.0,1136.0,0.7382827401161194,0.9140298366546631,0.5740532279014587,0.9753026962280273,4,first_raining
4,0.8430610299110413,17357.0,2212.0,358412.0,12695.0,0.7332290410995483,0.8869640827178955,0.5775655508041382,0.971217930316925,0.7675776481628418,1612.0,147.0,31857.0,1055.0,0.7555305361747742,0.9164298176765442,0.6044244766235352,0.9782320857048035,5,first_raining
5,0.7900871634483337,18144.0,2248.0,358376.0,11908.0,0.7464062571525574,0.8897606730461121,0.6037535071372986,0.9748570919036865,0.7142996191978455,1688.0,147.0,31857.0,979.0,0.7772778272628784,0.9198909997940063,0.6329208612442017,0.9812473058700562,6,first_raining
6,0.7445325255393982,18871.0,2277.0,358347.0,11181.0,0.7623785734176636,0.8923302292823792,0.6279448866844177,0.977685809135437,0.6754014492034912,1749.0,157.0,31847.0,918.0,0.7817772626876831,0.9176285266876221,0.6557930111885071,0.9835323691368103,7,first_raining
7,0.7079675197601318,19429.0,2220.0,358404.0,10623.0,0.7762877941131592,0.8974548578262329,0.6465126872062683,0.9798673987388611,0.6493538022041321,1790.0,148.0,31856.0,877.0,0.7930258512496948,0.9236326217651367,0.6711661219596863,0.9846493601799011,8,first_raining
8,0.6734265685081482,19913.0,2241.0,358383.0,10139.0,0.7824770212173462,0.8988444805145264,0.662618100643158,0.9821886420249939,0.6151258945465088,1828.0,154.0,31850.0,839.0,0.8023996949195862,0.9223006963729858,0.6854143142700195,0.9865216612815857,9,first_raining
9,0.6507581472396851,20350.0,2275.0,358349.0,9702.0,0.7917276620864868,0.899447500705719,0.6771596074104309,0.9831050038337708,0.5990181565284729,1845.0,154.0,31850.0,822.0,0.8020247220993042,0.9229614734649658,0.6917885541915894,0.9872166514396667,10,first_raining
10,0.48694318532943726,25155.0,2823.0,389805.0,7564.0,0.8322992920875549,0.8990992903709412,0.7688193321228027,0.9891476631164551,0.342695951461792,2247.0,175.0,31829.0,420.0,0.8863891959190369,0.9277456402778625,0.8425197005271912,0.9954128265380859,11,fine_tune
11,0.29736700654029846,26100.0,1832.0,358792.0,3952.0,0.9030014872550964,0.9344121217727661,0.8684946298599243,0.9959748983383179,0.25748303532600403,2363.0,137.0,31867.0,304.0,0.9130108952522278,0.9452000260353088,0.8860142230987549,0.997173547744751,12,fine_tune
12,0.1926741749048233,27654.0,1204.0,359420.0,2398.0,0.9404032826423645,0.958278477191925,0.9202049970626831,0.9982659220695496,0.1790665239095688,2459.0,112.0,31892.0,208.0,0.9407573938369751,0.9564371705055237,0.9220097661018372,0.9987398982048035,13,fine_tune
13,0.1338886022567749,28516.0,887.0,359737.0,1536.0,0.9603021144866943,0.9698330163955688,0.9488885998725891,0.9991831183433533,0.14292700588703156,2491.0,91.0,31913.0,176.0,0.9516310691833496,0.9647560119628906,0.9340082406997681,0.9992052316665649,14,fine_tune
14,0.09393534064292908,29044.0,608.0,360016.0,1008.0,0.9737122058868408,0.9794954657554626,0.9664581418037415,0.9996308088302612,0.11111943423748016,2552.0,70.0,31934.0,115.0,0.9651293754577637,0.9733028411865234,0.9568803906440735,0.9993009567260742,15,fine_tune
15,0.07114914059638977,29323.0,476.0,360148.0,729.0,0.9799680709838867,0.984026312828064,0.9757420420646667,0.9997895359992981,0.10009665042161942,2564.0,66.0,31938.0,103.0,0.967379093170166,0.9749049544334412,0.9613798260688782,0.9993937611579895,16,fine_tune
16,0.052071016281843185,29563.0,345.0,360279.0,489.0,0.985957682132721,0.9884646534919739,0.9837282299995422,0.9998624920845032,0.07600569725036621,2589.0,56.0,31948.0,78.0,0.9745031595230103,0.978827953338623,0.9707536697387695,0.9997686743736267,17,fine_tune
17,0.037817977368831635,29736.0,223.0,360401.0,316.0,0.9911819696426392,0.9925565123558044,0.9894849061965942,0.9999070763587952,0.07720529288053513,2591.0,50.0,31954.0,76.0,0.9752531051635742,0.9810677766799927,0.9715035557746887,0.9993820190429688,18,fine_tune
18,0.028810901567339897,29832.0,156.0,360468.0,220.0,0.9936443567276001,0.994797945022583,0.9926793575286865,0.999959409236908,0.07507611811161041,2590.0,63.0,31941.0,77.0,0.9737532734870911,0.9762532711029053,0.9711285829544067,0.9993637204170227,19,fine_tune
